https://ria.ru/20230408/polsha-1863957267.html,13:20 08.04.2023,В Польше вывели Зеленского на чистую воду,"МОСКВА, 8 апр — РИА Новости. Визит президента Украины Владимира Зеленского в Польшу не несет никакой позитивной динамики в отношения двух стран, так как политик отказался признавать преступления Киева, считает обозреватель портала Mysl Polska Пшемыслав Пяста.По мнению автора статьи, после того как польский президент Дуда наградил политика орденом Белого орла, награду придется переименовать в орден Птицы Додо. Пяста заявил, что птица, олицетворяющая глупость, больше подходит для награды, раз в Варшаве решили, что Зеленский на их стороне.""Достаточно почитать полные восторга эмфазы по поводу ""исторического визита"" Зеленского. О его великом историческом послании. И о якобы ""пропольском"" жесте, который состоял в том, что выступающий произнес несколько слов на нашем языке. Когда я слушаю такие высказываемые пророческим тоном излияния, меня сначала разбирает беззаботный смех, а затем охватывает жалость и тревога"", — посетовал Пяста.По его словам, ""пропольским"" жестом могли бы быть извинения украинского лидера за испорченные отношения между двумя странами. Например, Пяста напомнил, что Зеленский не захотел ни просить прощения за Волынскую резню, ни даже ""отмежеваться от убийц"".""Вот за что бы Зеленский мог извиниться, так это за обстрелы нашей территории украинскими ракетами, за так называемый инцидент в Пшеводуве. В конце концов, по вине украинцев польские граждане лишились жизни и имущества. Но и этих извинений мы не дождались"", — отметил Пяста.По его словам, извинение означает признание вины и, в свою очередь, необходимость компенсации. Однако Украина не будет поднимать эту тему, поскольку сами пострадавшие молчат.""Зеленский прекрасно понимает, что глупых, словно птицы додо, поляков достаточно публично похвалить и фамильярно похлопать по спине, чтобы они забыли о собственных интересах. И продолжили безоглядно спонсировать обанкротившуюся Украину"", — заключил Пяста."
https://ria.ru/20230408/vsu-1863986199.html,18:09 08.04.2023,Разведчик ВС США уточнил число погибших и пропавших без вести военных ВСУ,"МОСКВА, 8 апр — РИА Новости. Вооруженные силы Украины потеряли погибшими и пропавшими без вести более 330 тысяч человек, заявил бывший офицер разведки морской пехоты США Скотт Риттер в интервью YouTube-каналу U.S. Tour of Duty.""Украина пытается занизить свои потери, но факт в том, что они намного больше, чем официальные цифры. Точно посчитать довольно трудно. <…> (Главнокомандующий ВСУ Валерий. — Прим. ред.) Залужный в разговоре с председателем Объединенного комитета начальников штабов Пентагона Марком Милли заявил, что 250 тысяч украинских военных погибли. Около 83 тысяч пропали без вести, из них примерно 60 тысяч, скорее всего, мертвы. Это дает примерное число в 315 тысяч погибших"", — рассказал разведчик.По его словам, приведенные цифры соответствуют той информации, которую он сам получает.Ранее экс-советник Пентагона полковник Дуглас Макгрегор заявлял, что из-за нехватки мобилизационного ресурса Киеву приходится идти на экстренные меры и брать в армию подростков в возрасте от 13 лет и недееспособных людей."
https://ria.ru/20230408/prigozhin-1863992835.html,18:52 08.04.2023,Пригожин попросил Макрона обеспечить охрану для сына Сытого в ЦАР,"МОСКВА, 8 апр — РИА Новости. Основатель ""Группы Вагнера"" Евгений Пригожин обратился к президенту Франции Эммануэлю Макрону с просьбой обеспечить охрану для сына главы ""Русского дома"" в ЦАР Дмитрия Сытого, соответствующее письмо опубликовано в телеграм-канале его пресс-службы.Пригожин также отметил, что Сытый приложил много усилий для борьбы с терроризмом в Африке. Шестнадцатого декабря 2022 года на него совершили покушение. По словам Пригожина, злоумышленники заложили взрывное устройство в посылку, в которой также были угрозы убить сына главы ""Русского дома"" в Центрально-Африканской Республике.Сытого госпитализировали в Банги 16 декабря после покушения, когда взорвалась отправленная ему посылка. Позже пострадавшего отправили самолетом в Москву. Глава полиции ЦАР Бьенвеню Зокуэ уточнил, что Сытый получал много угроз и уже обращался по этому поводу к властям. Силовики назвали произошедшее терактом.В начале февраля местная полиция задержала по этому делу четверых сотрудников компании DHL. Ни один из подозреваемых свою причастность к нападению не признал."
https://ria.ru/20230408/fbr-1863965911.html,14:44 08.04.2023,СМИ узнали о коварном плане США против России,"МОСКВА, 8 апр — РИА Новости. Американская разведка с помощью соцсетей пытается вербовать россиян для сбора разведданных, сообщил телеканал Fox News.По данным СМИ, ФБР занимается этим с февраля.""В видео, размещенном в Facebook* (соцсеть запрещена в России как экстремистская) и Twitter, показаны сцены из столицы США и российского посольства, а голос на русском говорит слушателям, что ФБР может изменить их будущее, если они смогут предоставить США разведданные. Рассказчик говорит, что ФБР ищет шпионов, эмигрантов и всех, у кого есть информация о противодействии Кремлю"", — пояснили журналисты.Опрошенные телеканалом эксперты неоднозначно высказались о подобном заявлении. Бывший офицер Управления военной разведки по российской доктрине и стратегии Ребекка Коффлер заявила, что качество ролика оставляет желать лучшего и это подрывает авторитет ФБР.Коффлер также пожелала удачи сотрудникам американской разведки, однако добавила, что почти не верит в успех их задумки.* Деятельность Meta (соцсети Facebook и Instagram) запрещена в России как экстремистская."
https://ria.ru/20230408/tyulen-1863986052.html,18:07 08.04.2023,В Петербурге на территории дамбы спасли исхудавшего детеныша тюленя,"С.-ПЕТЕРБУРГ, 8 апр — РИА Новости. Первого в этом году детеныша тюленя спасли на территории дамбы в Санкт-Петербурге, сообщило ГУП ""Водоканал Санкт-Петербурга"".""Первого питомца — сильно исхудавшего серого тюлененка — доставили в Центр спасения на территории петербургского Водоканала в поселке Репино. Вес детеныша всего 15 килограмм, а в начале самостоятельной жизни малыш должен весить более 40 килограммов. Только с такой массой он не мерзнет в холодной воде и может учиться охоте на рыбу"", — говорится в публикации.Специалисты ""Фонда друзей балтийской нерпы"" будут оказывать квалифицированную помощь тюлененку.В работе по спасению морских млекопитающих балтийского региона с 2013 года участвует ГУП ""Водоканал Санкт-Петербурга"". Открытие первого в России современного специализированного центра для реабилитации морских млекопитающих, включающего карантинный и адаптационный блоки и уличные бассейны, состоялось в 2014 году. Сотрудники учреждения смогли спасти и вернуть в дикую природу более 130 нерп и тюленей.Самый известный подопечный центра — самец ладожской кольчатой нерпы Крошик. После реабилитации его дважды пытались выпустить в дикую природу, но каждый раз он возвращался. Через несколько лет у Крошика появился постоянный сосед — самец ладожской нерпы Шлиссик. Он тоже ""предпочел"" естественной среде обитания жизнь на территории центра в Репино."
https://ria.ru/20230408/enoty-1863951542.html,12:34 08.04.2023,"В Крыму родились четыре малыша у енотов, привезенных из Херсона","СИМФЕРОПОЛЬ, 8 апр — РИА Новости. Четыре малыша родились у енотов, привезенных в прошлом году в крымский сафари-парк ""Тайган"" из зоопарка Херсона, сообщила РИА Новости пресс-секретарь парка Татьяна Алексагина.""Все привезенные херсонские еноты живут вместе. Чувствуют себя хорошо. У них пополнение семейства. Сначала родились три малыша. А затем еще один енотик"", — уточнила она.По ее словам, пол малышей пока трудно определить, но все они чувствуют себя хорошо. О них заботятся их родители."
https://ria.ru/20230408/vsu-1863976951.html,16:20 08.04.2023,СМИ: российская разведка узнала опасную для будущего ВСУ информацию,"МОСКВА, 8 апр — РИА Новости. Российская разведка может добыть много информации о состоянии ВСУ и намерениях украинского Генштаба из-за недавней утечки из Пентагона, пишет The War Zone.Как отмечается в статье, секретные данные позволят российским аналитикам получить более подробное представление о будущем военном планировании киевского руководства.Бывший высокопоставленный офицер спецназа США, который обычно имел дело с подобными материалами, сказал изданию, что документы, которые он видел в социальных сетях, выглядят как подлинные.Ранее американская газета The New York Times сообщила о расследовании Пентагоном утечки в интернет данных, где описываются состояние ВСУ и программы США и НАТО по их укреплению.Пресс-секретарь президента России Дмитрий Песков, комментируя инцидент, заявил каналу CNN, что у Москвы нет сомнений в том, что Вашингтон и Североатлантический альянс прямо или косвенно вовлечены в конфликт."
https://ria.ru/20230408/vsu-1863998507.html,19:34 08.04.2023,СМИ: снарядный голод вынуждает ВСУ собирать неразорвавшиеся боеприпасы,"МОСКВА, 8 апр — РИА Новости. Украинским военнослужащим приходится собирать неразорвавшиеся боеприпасы из-за их острой нехватки в войсках, пишет газета The Washington Post.Как уточняют журналисты, запасы калибром 155 миллиметров для американских орудий также постепенно иссякают, несмотря на отчаянные попытки НАТО нарастить производство.В такой непростой ситуации ВСУ начали искать неразорвавшиеся боеприпасы и привозить их к артиллеристам для повторного использования, подытоживается в материале."
https://ria.ru/20230408/sochi-1863923245.html,08:56 08.04.2023,"В Сочи мужчина подрался с ""ангелами"" в центре курорта","СОЧИ, 8 апр — РИА Новости. Сочинские правоохранители продолжают искать мужчину, который на этой неделе подрался в центре курорта с промоутерами в костюмах ангелов, сообщили РИА Новости городском УВД.""Личность устанавливается, еще не поймали"", — сказал собеседник агентства.Видео с дракой мужчины и промоутеров в костюмах ангелов на центральной улице Навагинской попало в соцсети днем в среду. После инцидента промоутеры написали в полицию заявление, правоохранители занялись проверкой, рассказали в пресс-службе ГУ МВД России по Краснодарскому краю."
https://ria.ru/20230408/gory-1863923789.html,09:07 08.04.2023,СМИ узнали о росте популярности российских горных курортов,"МОСКВА, 8 апр — РИА Новости. Российские горные курорты получили повышенный спрос из-за ограничения доступных выездных направлений, сообщает ""Коммерсантъ"".Эксперты оценили рост популярности отечественных горнолыжных курортов в 10-15 процентов: в этом сошлись данные портала Travelata.ru, а также туристических операторов.""Россияне ездили кататься в основном в Домбай, Архыз, Приэльбрусье и Шерегеш. Доля сохранившей лидирующее место Красной Поляны размылась из-за поздно выпавшего снега. Зарубежные курорты сохранили за собой символический объем спроса: преимущественно горнолыжники ездили в Армению, Турцию и Грузию"", — рассказали журналисты.Красная Поляна сохраняет лидерство среди российских горнолыжных курортов — на ее долю пришлось 58 процентов спроса.При этом туроператоры подчеркнули изменение аудитории желающих отдохнуть в горах: в России также проявилась общемировая тенденция на снижение числа опытных лыжников среди туристов.В пятницу пресс-служба администрации Краснодарского края сообщила о том, что за зимний сезон на местных курортах побывало более двух с половиной миллионов туристов."
